image_name,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand
image_from_nao_ball_nort_west20.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao_ball_nort_west97.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao_ball_on_the_right45.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
image_from_nao_ball_on_the_right_of_the_guy14.png,0.776246,-0.072140,0.226990,0.960326,-0.589098,0.346400
image_from_nao_ball_on_the_right_of_the_guy20.png,0.776246,-0.072140,0.226990,0.960326,-0.589098,0.346400
image_from_nao_ball_on_the_right_of_the_guy9.png,0.776246,-0.072140,0.226990,0.960326,-0.589098,0.346400
image_from_nao45.png,0.467912,0.032172,-0.527738,0.523136,0.062852,0.977600
image_from_nao_ball_south_east73.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_on_the_right40.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
image_from_nao_ball_between_up69.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_back_leg68.png,0.558418,0.184038,0.072056,0.124296,-0.044528,0.436400
image_from_nao_ball_nort_west24.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao_ball_on_the_right_of_the_guy74.png,0.776246,-0.072140,0.226990,0.960326,-0.589098,0.346400
image_from_nao_ball_on_the_left0.png,0.656594,0.314159,-0.308376,0.335988,-0.027654,0.273600
image_from_nao_ball_between_up89.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_nort_west13.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao_ball_nort_west85.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao_ball_south_east63.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_between_up99.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_back_leg36.png,0.558418,0.184038,0.072056,0.124296,-0.044528,0.436400
image_from_nao_ball_south_east28.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_back_leg56.png,0.558418,0.184038,0.072056,0.124296,-0.044528,0.436400
image_from_nao_ball_on_the_right52.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
image_from_nao_ball_overhead25.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao_ball_between_up23.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_south_east49.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao7.png,0.467912,0.032172,-0.527738,0.523136,0.062852,0.977600
image_from_nao_ball_south_east79.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_between_up8.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_on_the_right76.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
image_from_nao_ball_on_the_right_of_the_guy90.png,0.776246,-0.072140,0.226990,0.960326,-0.589098,0.346400
image_from_nao_ball_between_up73.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_back_leg23.png,0.558418,0.184038,0.072056,0.124296,-0.044528,0.436400
image_from_nao30.png,0.467912,0.032172,-0.527738,0.523136,0.062852,0.977600
image_from_nao_ball_on_the_right86.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
image_from_nao_ball_between_up96.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_overhead71.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao_ball_overhead98.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao84.png,0.467912,0.032172,-0.527738,0.523136,0.062852,0.977600
image_from_nao_ball_between_up83.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_south_east99.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_nort_west28.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao_ball_overhead0.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao_ball_south_east64.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_on_the_left33.png,0.656594,0.314159,-0.308376,0.335988,-0.027654,0.273600
image_from_nao_ball_back_leg72.png,0.558418,0.184038,0.072056,0.124296,-0.044528,0.436400
image_from_nao_ball_on_the_right62.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
image_from_nao_ball_between_up79.png,0.587564,-0.075208,0.223922,0.371270,-0.282298,0.395200
image_from_nao_ball_overhead2.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao_ball_nort_west59.png,0.598302,0.314159,0.079726,0.135034,-0.274628,0.396000
image_from_nao80.png,0.467912,0.032172,-0.527738,0.523136,0.062852,0.977600
image_from_nao_ball_overhead24.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao_ball_on_the_left36.png,0.656594,0.314159,-0.308376,0.335988,-0.027654,0.273600
image_from_nao_ball_on_the_left49.png,0.656594,0.314159,-0.308376,0.335988,-0.027654,0.273600
image_from_nao_ball_overhead22.png,0.498592,-0.239346,-0.282298,1.041628,-0.118160,0.380400
image_from_nao21.png,0.467912,0.032172,-0.527738,0.523136,0.062852,0.977600
image_from_nao_ball_south_east19.png,0.782382,-0.345192,0.223922,0.934248,-0.421892,0.264800
image_from_nao_ball_on_the_right3.png,0.694944,-0.092082,0.226990,0.378940,-0.285366,0.268800
